CZmiS6QsfJU	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_18/CZmiS6QsfJU_220.0.mp4	I'm going to die.	0.000	10.860
LDjeRxKx2pY	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_10/LDjeRxKx2pY_310.0.mp4	Sorry this is hard to do with one hand.	0.090	10.320
oyAAhjGTNvQ	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_10/oyAAhjGTNvQ_0.0.mp4	So we're gonna play the last song for you. It's called We'll Meet Again, Sweetheart.	1.170	9.990
FnCxKMUJA9w	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_04/FnCxKMUJA9w_0.0.mp4	When fitting your Select Access Panel, all you'll need is a jabsaw, construction adhesive,	1.170	9.750
TUDsspiNPes	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_13/TUDsspiNPes_330.0.mp4	Air June 6-40 is going to make an improvement. Air July 6-1, you're on fire. Copy. 2-2-1.	0.000	11.700
AYfl-pESfzs	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_04/AYfl-pESfzs_70.0.mp4	Come on. Come on. Yep.	0.240	11.580
ospVD-a6FM8	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_13/ospVD-a6FM8_0.0.mp4	You can hear that purring. Ooh, that'd be giddy.	0.870	7.110
Aysvc4tVke8	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_11/Aysvc4tVke8_170.0.mp4	You know it clap your hands. If you're at the end, you know it clap your hands. Good.	0.000	14.550
EB6l4sGiyOE	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_09/EB6l4sGiyOE_430.0.mp4	Here's your money. I'll take all the chips. How much is this? Ten thousand dollars. Cash. Alright!	0.540	11.610
eEY8OozRve0	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_01/eEY8OozRve0_50.0.mp4	So the fan is still on. Okay, now it's turned on. So you can hear that sound.	9.030	15.000
CxRRlAYZfvI	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_13/CxRRlAYZfvI_50.0.mp4	of the 50C5. But, let's go over here.	0.900	9.840
nGa9YKv6SCw	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_17/nGa9YKv6SCw_470.0.mp4	Yep, something more in there.	4.140	6.420
FU0W7AHnJ6M	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_03/FU0W7AHnJ6M_540.0.mp4	And we'll be back.	0.030	7.110
YjHTyc6jtP8	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_10/YjHTyc6jtP8_90.0.mp4	And that's what I'm being an apple for, it's taken away	0.000	10.530
d2HYVuypXMI	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_02/d2HYVuypXMI_30.0.mp4	all the way up to a plectrum banjo, which is a very long neck instrument. They basically start out with the old five string banjo.	0.000	12.360
3BSNrdzl-JI	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_02/3BSNrdzl-JI_0.0.mp4	Hello there, this is Chris and Mike here for another episode of Dad and Son. Dad say hello to the	4.200	9.990
zK0YAcfuXK8	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_01/zK0YAcfuXK8_300.0.mp4	I love it when they just show up. There it is.	2.640	10.500
8774DAut-W4	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_17/8774DAut-W4_30.0.mp4	I feel the thrill of the time If someone's with my mind	0.030	10.020
JkI2xKsnKs4	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_05/JkI2xKsnKs4_0.0.mp4	Now press it up.	1.650	3.150
cmW5jaOIdKg	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_10/cmW5jaOIdKg_30.0.mp4	So we're going to clip his spurs because they're getting pretty long. These ones here. So maybe about halfway. Okay we'll do a little less then.	0.480	10.620
j3fJSSk81WQ	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_06/j3fJSSk81WQ_40.0.mp4	Thank you.	6.870	11.850
biGxqfUshJo	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_12/biGxqfUshJo_30.0.mp4	I'll be on my best behavior Just call me your savior I'ma take full control of your mind like Xavier Professor X or	0.510	10.020
rHFOwlMCdto	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_11/rHFOwlMCdto_440.0.mp4	that this happens a lot. Without photo ID, what do you fear could happen? Well, without photo ID, I mean, let's be clear, I don't want dead people voting in the state of South Carolina. I've said that from	0.570	12.810
Sv56HngtRSU	/public/huggingface-datasets/Aimind-dataset-share/Audioset/data/balanced_train/balanced_train_04/Sv56HngtRSU_370.0.mp4	Breathe out slowly. Breathe in slowly. Breathe out slowly.	0.390	9.630
